Web Search interest
United States; Past 12 months

Interest over time
Week,Internet & Telecom
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-6%
2013-09-29 - 2013-10-05,-10%
2013-10-06 - 2013-10-12,-11%
2013-10-13 - 2013-10-19,-11%
2013-10-20 - 2013-10-26,-12%
2013-10-27 - 2013-11-02,-10%
2013-11-03 - 2013-11-09,-9%
2013-11-10 - 2013-11-16,-12%
2013-11-17 - 2013-11-23,-11%
2013-11-24 - 2013-11-30,-12%
2013-12-01 - 2013-12-07,-12%
2013-12-08 - 2013-12-14,-13%
2013-12-15 - 2013-12-21,-11%
2013-12-22 - 2013-12-28,-5%
2013-12-29 - 2014-01-04,-11%
2014-01-05 - 2014-01-11,-13%
2014-01-12 - 2014-01-18,-12%
2014-01-19 - 2014-01-25,-16%
2014-01-26 - 2014-02-01,-16%
2014-02-02 - 2014-02-08,-16%
2014-02-09 - 2014-02-15,-15%
2014-02-16 - 2014-02-22,-14%
2014-02-23 - 2014-03-01,-14%
2014-03-02 - 2014-03-08,-14%
2014-03-09 - 2014-03-15,-15%
2014-03-16 - 2014-03-22,-16%
2014-03-23 - 2014-03-29,-16%
2014-03-30 - 2014-04-05,-16%
2014-04-06 - 2014-04-12,-16%
2014-04-13 - 2014-04-19,-16%
2014-04-20 - 2014-04-26,-15%
2014-04-27 - 2014-05-03,-17%
2014-05-04 - 2014-05-10,-15%
2014-05-11 - 2014-05-17,-14%
2014-05-18 - 2014-05-24,-14%
2014-05-25 - 2014-05-31,-16%
2014-06-01 - 2014-06-07,-16%
2014-06-08 - 2014-06-14,-15%
2014-06-15 - 2014-06-21,-15%
2014-06-22 - 2014-06-28,-15%
2014-06-29 - 2014-07-05,-17%
2014-07-06 - 2014-07-12,-14%
2014-07-13 - 2014-07-19,-14%
2014-07-20 - 2014-07-26,-13%
2014-07-27 - 2014-08-02,-12%
2014-08-03 - 2014-08-09,-15%
2014-08-10 - 2014-08-16,-13%
2014-08-17 - 2014-08-23,-11%
2014-08-24 - 2014-08-30,-15%
2014-08-31 - 2014-09-06,-12%
2014-09-07 - 2014-09-13,+6%
2014-09-14 - 2014-09-20,-10%



Top searches
google,100
mail,80
yahoo,65
yahoo mail,55
iphone,40
verizon,30
mobile,25
aol,25
tumblr,25
email,20
twitter,20
at&t,20
msn,20
android,20
gmail,15
att,15
comcast,15
verizon wireless,15
sprint,10
samsung,10



Rising searches
iphone 5c,Breakout
nexus 5,+950%
iphone 5s,+850%
outlook 365,+550%
google drive,+350%
iphone 6,+300%
yahoo mail login,+70%
twc,+60%
frontier,+50%
waptrick,+50%



