Web Search interest
United States; 2006

Interest over time
Week,Reference
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,+2%
2006-01-15 - 2006-01-21,+1%
2006-01-22 - 2006-01-28,+3%
2006-01-29 - 2006-02-04,+8%
2006-02-05 - 2006-02-11,+5%
2006-02-12 - 2006-02-18,+3%
2006-02-19 - 2006-02-25,+1%
2006-02-26 - 2006-03-04,+5%
2006-03-05 - 2006-03-11,+4%
2006-03-12 - 2006-03-18,+1%
2006-03-19 - 2006-03-25,+1%
2006-03-26 - 2006-04-01,+4%
2006-04-02 - 2006-04-08,+4%
2006-04-09 - 2006-04-15,+0%
2006-04-16 - 2006-04-22,-3%
2006-04-23 - 2006-04-29,+4%
2006-04-30 - 2006-05-06,+4%
2006-05-07 - 2006-05-13,+1%
2006-05-14 - 2006-05-20,+0%
2006-05-21 - 2006-05-27,-4%
2006-05-28 - 2006-06-03,-9%
2006-06-04 - 2006-06-10,-9%
2006-06-11 - 2006-06-17,-10%
2006-06-18 - 2006-06-24,-13%
2006-06-25 - 2006-07-01,-13%
2006-07-02 - 2006-07-08,-14%
2006-07-09 - 2006-07-15,-13%
2006-07-16 - 2006-07-22,-14%
2006-07-23 - 2006-07-29,-15%
2006-07-30 - 2006-08-05,-16%
2006-08-06 - 2006-08-12,-16%
2006-08-13 - 2006-08-19,-14%
2006-08-20 - 2006-08-26,-11%
2006-08-27 - 2006-09-02,-4%
2006-09-03 - 2006-09-09,-3%
2006-09-10 - 2006-09-16,+1%
2006-09-17 - 2006-09-23,+3%
2006-09-24 - 2006-09-30,+5%
2006-10-01 - 2006-10-07,+0%
2006-10-08 - 2006-10-14,+2%
2006-10-15 - 2006-10-21,+3%
2006-10-22 - 2006-10-28,+1%
2006-10-29 - 2006-11-04,+1%
2006-11-05 - 2006-11-11,-3%
2006-11-12 - 2006-11-18,+0%
2006-11-19 - 2006-11-25,-13%
2006-11-26 - 2006-12-02,-1%
2006-12-03 - 2006-12-09,-2%
2006-12-10 - 2006-12-16,+1%
2006-12-17 - 2006-12-23,-10%
2006-12-24 - 2006-12-30,-24%
2006-12-31 - 2007-01-06,-11%



Top searches
the,100
map,90
dictionary,90
quotes,60
maps,45
google,45
spanish,40
craigslist,35
history,30
time,30
earth,30
white pages,30
translation,25
calendar,25
wikipedia,25
yellow pages,25
translator,20
google earth,20
zip code,20
zip codes,15



Rising searches
louis braille birthdate,Breakout
2007 calendar,+1,700%
wikepedia,+250%
wiki,+250%
wikipedia,+250%
2006 calender,+150%
craigslist,+140%
craiglist,+90%
2006 calendar,+80%
craigs list,+80%



