Web Search interest
United States; 2013

Interest over time
Week,Computers & Electronics
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-1%
2013-01-20 - 2013-01-26,-1%
2013-01-27 - 2013-02-02,+0%
2013-02-03 - 2013-02-09,-3%
2013-02-10 - 2013-02-16,-4%
2013-02-17 - 2013-02-23,-1%
2013-02-24 - 2013-03-02,-2%
2013-03-03 - 2013-03-09,+0%
2013-03-10 - 2013-03-16,-4%
2013-03-17 - 2013-03-23,-4%
2013-03-24 - 2013-03-30,-3%
2013-03-31 - 2013-04-06,-9%
2013-04-07 - 2013-04-13,-6%
2013-04-14 - 2013-04-20,-11%
2013-04-21 - 2013-04-27,-6%
2013-04-28 - 2013-05-04,-10%
2013-05-05 - 2013-05-11,-6%
2013-05-12 - 2013-05-18,-7%
2013-05-19 - 2013-05-25,-4%
2013-05-26 - 2013-06-01,-7%
2013-06-02 - 2013-06-08,-6%
2013-06-09 - 2013-06-15,+2%
2013-06-16 - 2013-06-22,-3%
2013-06-23 - 2013-06-29,-7%
2013-06-30 - 2013-07-06,-11%
2013-07-07 - 2013-07-13,-6%
2013-07-14 - 2013-07-20,-7%
2013-07-21 - 2013-07-27,-4%
2013-07-28 - 2013-08-03,-5%
2013-08-04 - 2013-08-10,-5%
2013-08-11 - 2013-08-17,-4%
2013-08-18 - 2013-08-24,-2%
2013-08-25 - 2013-08-31,-4%
2013-09-01 - 2013-09-07,-5%
2013-09-08 - 2013-09-14,-2%
2013-09-15 - 2013-09-21,+1%
2013-09-22 - 2013-09-28,-3%
2013-09-29 - 2013-10-05,-5%
2013-10-06 - 2013-10-12,-3%
2013-10-13 - 2013-10-19,-3%
2013-10-20 - 2013-10-26,-1%
2013-10-27 - 2013-11-02,-4%
2013-11-03 - 2013-11-09,-1%
2013-11-10 - 2013-11-16,+3%
2013-11-17 - 2013-11-23,+2%
2013-11-24 - 2013-11-30,+4%
2013-12-01 - 2013-12-07,+6%
2013-12-08 - 2013-12-14,+1%
2013-12-15 - 2013-12-21,+3%
2013-12-22 - 2013-12-28,+3%
2013-12-29 - 2014-01-04,-4%



Top searches
windows,100
google,90
free,80
mac,65
apple,60
xbox,55
galaxy,40
windows 7,40
chrome,40
hp,40
ipad,35
microsoft,35
itunes,35
drive,30
apps,30
adobe,25
ipod,25
paypal,25
amazon,25
dell,25



Rising searches
blurred lines,Breakout
xbox one,Breakout
galaxy s4,+4,150%
samsung galaxy s4,+3,800%
ps4,+1,600%
playstation 4,+550%
windows 8,+80%
galaxy,+60%
gopro,+60%
xfinity,+50%



